,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
214,2022-06-23 09:15:00+05:30,137.7,308.35,100.45,262.9,9791225,980800,53.41,44.46183953033267,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2721353.75,356.344,1342863.75,3.6,True,False,True,False,True,False,False,True,True,21100.0,980800.0,2022-06-23,223,2183443175,2183443175,9791225,223.0,0.0,True,False,False,200475520.0,21100.0
215,2022-06-23 09:30:00+05:30,265.35,386.7,265.05,382.6,3377375,576025,63.46,64.7042901610502,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2784487.5,357.86199999999997,1312833.75,1.21,True,True,True,True,True,False,True,True,True,-404775.0,576025.0,2022-06-23,344,1161817000,3345260175,13168600,254.03,89.97,True,True,False,187712146.875,404775.0
216,2022-06-23 09:45:00+05:30,388.0,519.15,386.1,475.85,1513525,414625,69.06,68.07051909892262,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2736583.75,359.526,1275738.75,0.55,True,True,False,True,True,False,True,True,True,-161400.0,414625.0,2022-06-23,460,696221500,4041481675,14682125,275.27,184.73,True,True,False,187669640.625,161400.0
217,2022-06-23 10:00:00+05:30,473.15,550.5,445.9,538.0,627050,369400,72.12,77.80458383594691,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2670461.25,361.43299999999994,1232273.75,0.23,True,True,False,True,True,False,True,True,True,-45225.0,369400.0,2022-06-23,511,320422550,4361904225,15309175,284.92,226.08,True,True,False,184035080.0,45225.0
218,2022-06-23 10:15:00+05:30,538.3,545.45,489.2,507.5,373400,360275,68.53,68.47464671654197,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2592113.75,362.795,1185567.5,0.14,True,True,False,True,True,False,True,False,False,-9125.0,360275.0,2022-06-23,514,191927600,4553831825,15682575,290.38,223.62,True,False,False,186379264.37500003,9125.0
219,2022-06-23 10:30:00+05:30,507.0,539.85,457.95,462.3,246800,355625,63.49,53.718218313897914,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2513248.75,363.35600000000005,1134236.25,0.1,True,True,False,True,True,False,True,False,False,-4650.0,355625.0,2022-06-23,486,119944800,4673776625,15929375,293.41,192.59,True,False,False,177421312.5,4650.0
220,2022-06-23 10:45:00+05:30,460.05,499.05,441.45,491.85,326175,346400,65.29,65.45907609737397,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2455276.25,364.533,1079223.75,0.13,True,True,False,True,True,False,True,True,True,-9225.0,346400.0,2022-06-23,477,155585475,4829362100,16255550,297.09,179.91,True,False,False,162894600.0,9225.0
221,2022-06-23 11:00:00+05:30,494.5,521.2,475.5,486.9,230400,329025,64.71,68.51146900927282,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2367478.75,364.87300000000005,1022353.75,0.1,True,True,False,True,True,False,True,False,False,-17375.0,329025.0,2022-06-23,494,113817600,4943179700,16485950,299.84,194.16,True,True,False,163969608.75,17375.0
222,2022-06-23 11:15:00+05:30,487.25,535.0,455.8,483.85,253275,324725,64.34,56.89455388180765,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2247537.5,365.736,967158.75,0.11,True,True,False,True,True,False,True,False,False,-4300.0,324725.0,2022-06-23,491,124358025,5067537725,16739225,302.73,188.27,True,False,False,160868765.0,4300.0
223,2022-06-23 11:30:00+05:30,481.8,489.25,363.75,363.75,437675,331525,51.62,-4.848874598070745,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2171466.25,363.028,912056.25,0.2,True,False,False,True,True,False,False,False,False,6800.0,331525.0,2022-06-23,405,177258375,5244796100,17176900,305.34,99.66,True,False,False,141395412.5,6800.0
224,2022-06-23 11:45:00+05:30,357.75,367.0,240.2,259.85,997075,327475,43.6,-54.08112168252379,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2124388.75,358.29699999999997,854413.75,0.47,True,True,False,False,True,False,False,False,False,-4050.0,327475.0,2022-06-23,289,288154675,5532950775,18173975,304.44,-15.44,False,False,False,99421410.0,4050.0
225,2022-06-23 12:00:00+05:30,259.45,302.65,218.65,262.8,1172325,364225,43.86,-80.89359200470312,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2060951.25,353.975,793486.25,0.57,True,False,False,False,True,False,False,True,True,36750.0,364225.0,2022-06-23,261,305976825,5838927600,19346300,301.81,-40.81,False,False,False,94935246.24999999,36750.0
226,2022-06-23 12:15:00+05:30,261.4,276.2,136.5,139.05,2201125,530300,36.14,-85.00403737455301,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2064432.5,346.586,740030.0,1.07,True,False,True,False,True,False,False,False,False,166075.0,530300.0,2022-06-23,183,402805875,6241733475,21547425,289.67,-106.67,False,False,False,109427405.0,166075.0
227,2022-06-23 12:30:00+05:30,137.15,179.2,123.05,134.5,4015800,871325,35.89,-83.45213849287168,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2196227.5,339.176,703357.5,1.83,False,False,True,False,True,False,False,False,False,341025.0,871325.0,2022-06-23,145,582291000,6824024475,25563225,266.95,-121.95,False,False,False,131678990.625,341025.0
228,2022-06-23 12:45:00+05:30,131.05,131.75,53.1,70.25,8697925,1702975,32.47,-98.61988304093568,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2431485.0,327.945,715237.5,3.58,False,False,True,False,True,False,False,False,False,831650.0,1702975.0,2022-06-23,85,739323625,7563348100,34261150,220.76,-135.76,False,False,False,157397464.375,831650.0
229,2022-06-23 13:00:00+05:30,72.25,88.5,25.05,28.4,10760600,2258875,30.43,-98.72954349698536,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,2847112.5,312.867,758466.25,3.78,False,False,True,False,True,False,False,False,False,555900.0,2258875.0,2022-06-23,47,505748200,8069096300,45021750,179.23,-132.23,False,True,False,128247628.125,555900.0
230,2022-06-23 13:15:00+05:30,28.2,34.95,20.15,27.2,7591950,2735350,30.38,-98.72446222030051,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3096435.0,297.651,824940.0,2.45,False,False,True,False,True,False,False,False,False,476475.0,2735350.0,2022-06-23,27,204982650,8274078950,52613700,157.26,-130.26,False,True,False,75358892.5,476475.0
231,2022-06-23 13:30:00+05:30,26.95,280.55,24.55,268.25,14872800,1150575,50.89,-16.36675235646958,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3645055.0,288.909,823572.5,4.08,False,True,True,False,True,False,False,True,True,-1584775.0,1150575.0,2022-06-23,191,2840704800,11114783750,67486500,164.7,26.3,True,True,False,175520216.25,1584775.0
232,2022-06-23 13:45:00+05:30,273.45,396.35,226.15,369.5,3286375,568175,56.66,18.877507101661358,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3675338.75,282.19599999999997,792870.0,0.89,True,True,True,True,True,False,False,True,True,-582400.0,568175.0,2022-06-23,330,1084503750,12199287500,70772875,172.37,157.63,True,True,False,176844468.75,582400.0
233,2022-06-23 14:00:00+05:30,372.35,381.7,139.35,146.9,2324550,613775,44.32,-14.478450968144907,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3654871.25,271.07300000000004,775573.75,0.64,True,False,False,False,True,False,False,False,False,45600.0,613775.0,2022-06-23,222,516050100,12715337600,73097425,173.95,48.05,False,False,False,159903731.875,45600.0
234,2022-06-23 14:15:00+05:30,147.75,228.6,95.1,156.25,3838375,684750,44.87,2.5069231890394974,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3357228.75,260.46500000000003,760771.25,1.14,True,False,False,False,True,False,False,True,True,70975.0,684750.0,2022-06-23,159,610301625,13325639225,76935800,173.2,-14.2,False,False,False,110826787.5,70975.0
235,2022-06-23 14:30:00+05:30,159.25,339.9,137.85,331.8,3128425,545275,53.95,23.01948430754872,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3344781.25,255.062,759233.75,0.94,True,True,False,True,True,False,False,True,True,-139475.0,545275.0,2022-06-23,269,841546325,14167185550,80064225,176.95,92.05,True,True,False,130252565.625,139475.0
236,2022-06-23 14:45:00+05:30,339.2,407.15,247.95,366.85,1637800,388475,55.53,35.82558279985506,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3350995.0,251.71900000000002,757926.25,0.49,True,True,True,True,True,False,False,True,True,-156800.0,388475.0,2022-06-23,340,556852000,14724037550,81702025,180.22,159.78,True,True,False,127244986.24999999,156800.0
237,2022-06-23 15:00:00+05:30,369.95,372.0,226.55,241.75,2319900,325650,49.07,23.415463974098667,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3435637.5,247.74200000000002,755738.75,0.68,True,True,True,False,True,False,False,False,False,-62825.0,325650.0,2022-06-23,280,649572000,15373609550,84021925,182.97,97.03,True,False,False,97458903.75,62825.0
238,2022-06-23 15:15:00+05:30,241.9,256.75,217.0,234.45,1228225,251000,48.72,22.59471245571,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3478378.75,243.87099999999998,750275.0,0.35,True,True,True,False,True,False,False,False,False,-74650.0,251000.0,2022-06-23,236,289861100,15663470650,85250150,183.74,52.26,True,False,False,59455625.0,74650.0
239,2022-06-23 15:30:00+05:30,233.95,233.95,233.95,233.95,25,251000,48.69,-5.068715826806571,BANKNIFTY2262332900CE,CE,32900.0,2022-06-23,25,BANKNIFTY,3466040.0,244.697,745043.75,0.0,True,False,False,False,True,False,False,False,False,0.0,251000.0,2022-06-23,233,5825,15663476475,85250175,183.74,49.26,True,False,False,58721450.0,0.0
